2026-05-22 08:00:50 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 08:03:42 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 08:03:49 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 08:03:49 | INFO     | memory.memory_manager | MemoryManager created: session=d2d298e6-ab97-4595-a5ae-9fa897a507a3
2026-05-22 08:03:49 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 08:10:11 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 08:10:16 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 08:10:16 | INFO     | memory.memory_manager | MemoryManager created: session=086901a4-aac8-4c88-ad2c-a4adfe06abf5
2026-05-22 08:10:16 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 08:15:16 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 08:15:19 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 08:15:19 | INFO     | memory.memory_manager | MemoryManager created: session=1b975340-a195-4d23-99a2-f0557132d008
2026-05-22 08:15:19 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 08:15:34 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 08:15:58 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 08:16:59 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:16:59 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 08:16:59 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 08:19:02 | INFO     | rag.document_loader | Loading document: guia_spring_boot_completa.pdf (type=pdf)
2026-05-22 08:19:08 | INFO     | rag.document_loader | Loaded 30 chunks from guia_spring_boot_completa.pdf
2026-05-22 08:19:08 | INFO     | rag.splitter | Split 30 docs → 76 chunks
2026-05-22 08:19:15 | INFO     | embeddings.embedding_manager | Using ChromaDB default embeddings (fallback)
2026-05-22 08:19:16 | INFO     | vectorstore.chroma_manager | ChromaDB store created/loaded from campusmind_data\chroma
2026-05-22 08:19:28 | INFO     | vectorstore.chroma_manager | Added 76 documents to ChromaDB
2026-05-22 08:19:28 | INFO     | rag.rag_pipeline | Ingested 'guia_spring_boot_completa.pdf' → 76 chunks
2026-05-22 08:19:28 | INFO     | ui.upload_interface | Ingested document: guia_spring_boot_completa.pdf
2026-05-22 08:20:08 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:20:08 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 08:20:08 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 08:21:40 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:21:40 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 08:21:40 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 08:22:21 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:22:21 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 08:22:21 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 08:31:29 | INFO     | rag.document_loader | Loading document: Riego y Fertilización Inteligente Ante proyecto.docx (type=docx)
2026-05-22 08:31:34 | INFO     | rag.document_loader | Loaded 1 chunks from Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 08:31:34 | INFO     | rag.splitter | Split 1 docs → 15 chunks
2026-05-22 08:31:41 | INFO     | vectorstore.chroma_manager | Added 15 documents to ChromaDB
