2026-05-18 13:20:02 | INFO     | campusmind.llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-18 13:20:05 | INFO     | campusmind.database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-18 13:20:05 | INFO     | campusmind.memory.memory_manager | MemoryManager created: session=c202a44c-bc03-4907-9bde-75b5b491858c
2026-05-18 13:20:05 | INFO     | campusmind.vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-18 13:23:51 | INFO     | campusmind.llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-18 13:23:52 | INFO     | campusmind.database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-18 13:23:52 | INFO     | campusmind.memory.memory_manager | MemoryManager created: session=1e932580-c359-40e1-b9c4-90824628b9bd
2026-05-18 13:23:52 | INFO     | campusmind.vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-18 13:26:30 | INFO     | campusmind.llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-18 13:26:31 | INFO     | campusmind.database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-18 13:26:31 | INFO     | campusmind.memory.memory_manager | MemoryManager created: session=0e3aba48-f253-4054-9297-131779054cbf
2026-05-18 13:26:31 | INFO     | campusmind.vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-18 13:26:34 | INFO     | campusmind.app.controllers | ChatController initialised: model=llama3-70b-8192 temp=0.70
2026-05-18 13:26:34 | INFO     | campusmind.app.controllers | Model updated: meta-llama/llama-3-8b-instruct:free @ 0.70
2026-05-18 13:26:42 | ERROR    | campusmind.app.controllers | Chat error: Error code: 404 - {'error': {'message': 'No endpoints found for meta-llama/llama-3-8b-instruct:free.', 'code': 404}, 'user_id': 'user_3D5PXGfncG8h9HOFDWtuANdJYtE'}
2026-05-18 13:30:14 | INFO     | campusmind.llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-18 13:30:16 | INFO     | campusmind.database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-18 13:30:16 | INFO     | campusmind.memory.memory_manager | MemoryManager created: session=a8a6bcb0-9b95-408e-b6ce-a66c7d17a2f9
2026-05-18 13:30:16 | INFO     | campusmind.vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-18 13:30:18 | INFO     | campusmind.app.controllers | ChatController initialised: model=llama3-70b-8192 temp=0.70
2026-05-18 13:30:18 | INFO     | campusmind.app.controllers | Model updated: meta-llama/llama-3.1-8b-instruct:free @ 0.70
2026-05-18 13:30:25 | ERROR    | campusmind.app.controllers | Chat error: Error code: 404 - {'error': {'message': 'No endpoints found for meta-llama/llama-3.1-8b-instruct:free.', 'code': 404}, 'user_id': 'user_3D5PXGfncG8h9HOFDWtuANdJYtE'}
2026-05-18 13:30:41 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:30:41 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:30:41 | INFO     | campusmind.agents.agent_manager | Created agent: academic
2026-05-18 13:30:41 | ERROR    | campusmind.app.controllers | Agent error (academic): Error code: 404 - {'error': {'message': 'No endpoints found for meta-llama/llama-3.1-8b-instruct:free.', 'code': 404}, 'user_id': 'user_3D5PXGfncG8h9HOFDWtuANdJYtE'}
2026-05-18 13:30:49 | INFO     | campusmind.app.controllers | Model updated: meta-llama/llama-3.1-70b-instruct @ 0.70
2026-05-18 13:30:53 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:30:53 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:30:53 | INFO     | campusmind.agents.agent_manager | Created agent: academic
2026-05-18 13:31:20 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:31:20 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:31:20 | INFO     | campusmind.agents.agent_manager | Created agent: academic
2026-05-18 13:32:00 | INFO     | campusmind.rag.document_loader | Loading document: taller tigger.docx (type=docx)
2026-05-18 13:32:00 | INFO     | campusmind.rag.document_loader | Loaded 1 chunks from taller tigger.docx
2026-05-18 13:32:00 | INFO     | campusmind.rag.splitter | Split 1 docs → 2 chunks
2026-05-18 13:32:02 | INFO     | campusmind.embeddings.embedding_manager | Using ChromaDB default embeddings (fallback)
2026-05-18 13:32:03 | INFO     | campusmind.vectorstore.chroma_manager | ChromaDB store created/loaded from campusmind_data\chroma
2026-05-18 13:32:09 | INFO     | campusmind.vectorstore.chroma_manager | Added 2 documents to ChromaDB
2026-05-18 13:32:09 | INFO     | campusmind.rag.rag_pipeline | Ingested 'taller tigger.docx' → 2 chunks
2026-05-18 13:32:09 | INFO     | campusmind.ui.upload_interface | Ingested document: taller tigger.docx
2026-05-18 13:32:36 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:32:36 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:32:36 | INFO     | campusmind.agents.agent_manager | Created agent: academic
2026-05-18 13:33:19 | INFO     | campusmind.app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-18 13:33:49 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:33:49 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:33:49 | INFO     | campusmind.agents.agent_manager | Created agent: academic
2026-05-18 13:34:23 | INFO     | campusmind.agents.agent_manager | AgentManager initialised
2026-05-18 13:34:23 | INFO     | campusmind.agents.academic_agent | AcademicAgent initialised
2026-05-18 13:34:23 | INFO     | campusmind.agents.agent_manager | Created agent: academic
